연도,시도,전가구 평균
2017,강원,3.1810991387
2017,경기,23.2160190989
2017,경남,6.5712422727
2017,경북,5.5706908265
2017,광주,2.9402466696
2017,대구,4.8183030202
2017,대전,3.045711464
2017,부산,6.9293663321
2017,서울,19.4561197967
2017,울산,2.1978263062
2017,인천,5.4785895986
2017,전남,3.7590361421
2017,전북,3.7458061598
2017,제주,1.1881808528
2017,충남,4.7046176543
2017,충북,3.1971446667
2018,강원,3.1831521869
2018,경기,23.372198927
2018,경남,6.5715720648
2018,경북,5.5555564018
2018,광주,2.9343439413
2018,대구,4.7961025035
2018,대전,3.0445789776
2018,부산,6.8939651167
2018,서울,19.2487230939
2018,세종,0.5906688758
2018,울산,2.1937229195
2018,인천,5.4923502419
2018,전남,3.7414563404
2018,전북,3.7333829315
2018,제주,1.2142457788
2018,충남,4.2380116098
2018,충북,3.1959680888
2019,강원,3.1865503248
2019,경기,23.5324879168
2019,경남,6.5733665662
2019,경북,5.5360609198
2019,광주,2.9355664435
2019,대구,4.7749952049
2019,대전,3.0434444231
2019,부산,6.8592017883
2019,서울,19.0494636981
2019,세종,0.6544179008
2019,울산,2.1917381083
2019,인천,5.5069637407
2019,전남,3.7234296812
2019,전북,3.7196488053
2019,제주,1.2428587639
2019,충남,4.2632664558
2019,충북,3.2065392583
2020,강원,3.1468961751
2020,경기,24.2038862268
2020,경남,6.5352664734
2020,경북,5.4509270636
2020,광주,2.9028297424
2020,대구,4.7374653334
2020,대전,2.9997555048
2020,부산,6.7294235556
2020,서울,18.9611965273
2020,세종,0.6467368663
2020,울산,2.1386257714
2020,인천,5.4851839902
2020,전남,3.6476801023
2020,전북,3.6295684342
2020,제주,1.2610747922
2020,충남,4.2914993884
2020,충북,3.2319840527
2021,강원,3.1442245567
2021,경기,24.4808528923
2021,경남,6.5233208726
2021,경북,5.4226970304
2021,광주,2.8924251469
2021,대구,4.7092109424
2021,대전,2.9866214535
2021,부산,6.6711904549
2021,서울,18.8086813843
2021,세종,0.6734797089
2021,울산,2.1243884502
2021,인천,5.4938730971
2021,전남,3.6229704854
2021,전북,3.6013247337
2021,제주,1.2796338675
2021,충남,4.3178522423
2021,충북,3.2472526808
2022,강원,3.1588264323
2022,경기,24.363271806
2022,경남,6.4518262216
2022,경북,5.4084902549
2022,광주,2.8634097369
2022,대구,4.7108046104
2022,대전,3.0162777041
2022,부산,6.714085561
2022,서울,19.0296995044
2022,세종,0.6647282557
2022,울산,2.1221079856
2022,인천,5.4819898357
2022,전남,3.6389756395
2022,전북,3.6105756433
2022,제주,1.2570916283
2022,충남,4.2635569872
2022,충북,3.244282193
2023,강원,3.1455463997
2023,경기,24.8327601072
2023,경남,6.3958817201
2023,경북,5.3565365856
2023,광주,2.8624344076
2023,대구,4.6424955455
2023,대전,2.9690837313
2023,부산,6.6494799117
2023,서울,18.8247930807
2023,세종,0.7073711509
2023,울산,2.0850937301
2023,인천,5.5697571421
2023,전남,3.6036694864
2023,전북,3.5716797422
2023,제주,1.2686294668
2023,충남,4.2775350092
2023,충북,3.2372527829
2024,강원,3.1640692283
2024,경기,24.9172501732
2024,경남,6.3628231175
2024,경북,5.2851250374
2024,광주,2.843281419
2024,대구,4.6809704348
2024,대전,2.9665397221
2024,부산,6.625259512
2024,서울,18.7633278394
2024,세종,0.708752232
2024,울산,2.0755027441
2024,인천,5.6275046823
2024,전남,3.5937268242
2024,전북,3.5643970835
2024,제주,1.2608753129
2024,충남,4.2976677827
2024,충북,3.2629268544
